Overall Rank,City,State,City/State,Total Score,Emotional & Physical Well-Being,Income & Employment ,Community & Environment,Recreational,Medical,Bars Average Yelp Rating,Bars Count of Reviews,Bar Count,Cannabis Shop Average Yelp Rating,Cannabis Shop Count of Reviews,Cannabis Shop Count
153,New Orleans,LA,"New Orleans, LA",47.57,164,127,76,illegal,legal,4.17,38973.0,50.0,,,
154,North Las Vegas,NV,"North Las Vegas, NV",47.19,157,158,99,legal,legal,4.0,845.0,3.0,3.5,372.0,4.0
155,Las Vegas,NV,"Las Vegas, NV",47.02,149,146,144,legal,legal,4.1911764705882355,120529.0,102.0,3.6491228070175437,3511.0,57.0
156,Tulsa,OK,"Tulsa, OK",46.5,170,83,110,illegal,legal,4.122448979591836,7935.0,49.0,,,
157,Wilmington,DE,"Wilmington, DE",46.32,156,144,154,decriminalized,legal,3.7432432432432434,3621.0,37.0,,,
158,Providence,RI,"Providence, RI",45.81,169,115,122,decriminalized,legal,4.074324324324325,23897.0,74.0,,,
159,New Haven,CT,"New Haven, CT",45.56,131,141,182,decriminalized,legal,3.9565217391304346,12624.0,46.0,,,
160,Montgomery,AL,"Montgomery, AL",45.48,143,176,155,misdemeanor,illegal,3.4642857142857144,1975.0,42.0,,,
161,Baltimore,MD,"Baltimore, MD",44.75,148,161,177,decriminalized,legal,4.09,19575.0,50.0,4.5,3.0,1.0
162,Jackson,MS,"Jackson, MS",44.7,150,178,178,decriminalized,CBD oil,3.706896551724138,1215.0,29.0,,,
163,Shreveport,LA,"Shreveport, LA",44.59,171,173,75,illegal,legal,3.6944444444444446,1402.0,36.0,,,
164,Memphis,TN,"Memphis, TN",44.45,146,179,156,misdemeanor,CBD oil,3.989795918367347,11405.0,49.0,,,
165,Philadelphia,PA,"Philadelphia, PA",44.27,168,165,115,illegal,legal,4.13,37190.0,50.0,,,
166,Columbus,GA,"Columbus, GA",44.27,174,154,109,decriminalized,CBD oil,3.7790697674418605,17952.0,86.0,,,
167,Fayetteville,NC,"Fayetteville, NC",44.17,159,153,170,decriminalized,CBD oil,3.3902439024390243,3796.0,41.0,,,
168,Akron,OH,"Akron, OH",44.05,154,166,174,decriminalized,legal,3.792682926829268,2258.0,41.0,,,
