Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State,Top-Bottom
212 20th St,Dive Bars,,,,Huntington,1129.683381580796,Club Inn Between,False,$,4.0,3,WV,2.5 Mile Radius
741 6th Ave,Bars,,,,Huntington,1101.2074615389329,The V Club,False,$$,3.5,3,WV,2.5 Mile Radius
335 14th St,Bars,,,,Huntington,449.5453676078212,The Hot Corner,False,$,3.5,3,WV,2.5 Mile Radius
410 10th St,Dance Clubs,Cocktail Bars,Karaoke,,Huntington,831.883327520161,Sharkeys,False,$,3.5,3,WV,2.5 Mile Radius
1001 3rd Ave,Tapas Bars,Pubs,Burgers,,Huntington,921.439390404626,Pullman Pub,False,$,3.0,4,WV,2.5 Mile Radius
1125 4th Ave,Pubs,American (Traditional),Venues & Event Spaces,,Huntington,647.0618384157112,The Union,False,$,3.5,3,WV,2.5 Mile Radius
817 4th Ave,Cocktail Bars,,,,Huntington,1104.0011646203227,The Lantern,False,$$,3.5,4,WV,2.5 Mile Radius
119 Bridge St,Bars,,,,Huntington,3957.2678042482216,Lighthouse,False,$,5.0,1,WV,2.5 Mile Radius
11401 N Rodney Parham Rd,Bars,German,Sandwiches,,Little Rock,4819.377726030616,The Pantry Restaurant,False,$$,4.5,276,AR,5 Mile Radius
200 River Market Ave,American (New),Cocktail Bars,,,Little Rock,8283.86738341354,Dizzy's Gypsy Bistro,False,$$,4.0,255,AR,7.5 Mile Radius
323 President Clinton Ave,Beer Bar,,,,Little Rock,8132.901429762764,Flying Saucer,False,$$,4.0,301,AR,7.5 Mile Radius
322 Main St,American (Traditional),Bars,,,Little Rock,7806.197153049259,Samantha's Tap Room & Wood Grill,False,$$,4.0,227,AR,5 Mile Radius
1620 Market St,Southern,Bars,American (New),,Little Rock,4499.474754136213,Petit & Keet,False,$$$,4.5,71,AR,5 Mile Radius
3501 Old Cantrell Rd,Bars,Mexican,Vegan,,Little Rock,4519.598544171789,The Fold: Botanas & Bar,False,$$,4.0,164,AR,5 Mile Radius
5805 Kavanaugh Blvd,Tex-Mex,Mexican,Cocktail Bars,,Little Rock,2936.6873468282947,Heights Taco & Tamale,False,$$,4.0,157,AR,2.5 Mile Radius
722 N Palm St,German,Bars,,,Little Rock,3026.5882857480215,The Pantry Crest,False,$$,4.5,61,AR,2.5 Mile Radius
111 West Markham St,American (Traditional),Cocktail Bars,,,Little Rock,7789.74894851746,Capital Bar and Grill,False,$$,4.0,158,AR,5 Mile Radius
