city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Cathedral City city,Cathedral City, California,CA,51485,52138,52576,52969,53326,53667,54094,54596
Rosemead city,Rosemead, California,CA,53809,54082,54337,54549,54616,54655,54584,54554
Watsonville city,Watsonville, California,CA,51279,51626,51960,52509,53073,53664,53910,54098
Yucaipa city,Yucaipa, California,CA,51508,52020,52384,52676,52882,53146,53343,53683
West Sacramento city,West Sacramento, California,CA,48853,49143,49616,50080,51779,52564,53059,53512
Delano city,Delano, California,CA,53133,53660,52481,52427,52572,52660,52752,53138
Palm Desert city,Palm Desert, California,CA,48693,49284,49843,50445,51017,51663,52182,52932
Glendora city,Glendora, California,CA,50517,50808,51039,51392,51365,52102,52250,52445
Placentia city,Placentia, California,CA,51008,51558,51947,52235,52262,52375,52343,52157
Aliso Viejo city,Aliso Viejo, California,CA,48237,48951,49570,50096,50120,50096,51490,51671
Cerritos city,Cerritos, California,CA,49059,49282,49500,49647,49705,49745,50591,51020
Poway city,Poway, California,CA,47961,48666,49084,49480,49774,50018,50080,50041
Castle Rock town,Castle Rock, Colorado,CO,48592,49674,50982,52616,55114,57112,59255,62276
Parker town,Parker, Colorado,CO,45516,46067,46993,48307,49447,51026,52657,54202
Denver city,Denver, Colorado,CO,603218,619356,633798,648049,663271,681618,694777,704621
Colorado Springs city,Colorado Springs, Colorado,CO,420492,427005,432260,437520,441720,448687,457600,464474
Aurora city,Aurora, Colorado,CO,326027,332144,338436,344522,351594,358666,362036,366623
Fort Collins city,Fort Collins, Colorado,CO,145045,146291,149020,152059,156058,160234,162308,165080
Lakewood city,Lakewood, Colorado,CO,142799,144057,145350,146845,149389,151956,153929,154958
Thornton city,Thornton, Colorado,CO,119376,121701,124172,127328,129805,132474,134859,136978
Arvada city,Arvada, Colorado,CO,106794,107900,110036,111688,113497,115171,117477,118807
Westminster city,Westminster, Colorado,CO,106456,107637,108983,110255,111360,112222,112798,112812
Pueblo city,Pueblo, Colorado,CO,106831,107159,107505,107708,107816,108904,110044,111127
Centennial city,Centennial, Colorado,CO,100966,102345,104032,106408,107221,108848,109498,110250
Boulder city,Boulder, Colorado,CO,98770,101049,102053,103607,105281,107462,107844,107125
Greeley city,Greeley, Colorado,CO,93211,94238,95143,96325,98152,100607,103369,105448
Longmont city,Longmont, Colorado,CO,86400,87539,88716,90022,90381,91935,92917,94341
Loveland city,Loveland, Colorado,CO,67049,69131,70147,71042,72159,74532,76080,76701
Broomfield city,Broomfield, Colorado,CO,56214,57445,58899,60065,61706,64796,66509,68341
