City,Density,Population,square miles
"Norwalk, Connecticut",3869,88438,23
"Novato, California",2041,56004,27
"Novi, Michigan",1957,59211,30
"O'Fallon, Missouri",2956,86274,29
"Oak Lawn, Illinois",6549,56257,9
"Oak Park, Illinois",11016,51774,5
"Oakland, California",7528,420005,56
"Ocala, Florida",1322,59253,45
"Oceanside, California",4256,175464,41
"Odessa, Texas",2810,117871,42
"Ogden, Utah",3200,86701,27
"Oklahoma City, Oklahoma",1053,638367,606
"Olathe, Kansas",2271,135473,60
"Olympia, Washington",2873,51202,18
"Omaha, Nebraska",3517,446970,127
"Ontario, California",3468,173212,50
"Orange, California",5665,140504,25
"Orem, Utah",5331,97499,18
"Orland Park, Illinois",2690,58862,22
"Orlando, Florida",2707,277173,102
"Oshkosh, Wisconsin",2602,66579,26
"Overland Park, Kansas",2525,188966,75
"Owensboro, Kentucky",3105,59273,19
"Oxnard, California",7732,207906,27
"Palatine, Illinois",5049,68766,14
"Palm Bay, Florida",1676,110104,66
"Palm Beach Gardens, Florida",976,53778,55
"Palm Coast, Florida",947,85109,90
"Palm Desert, California",1948,52231,27
"Palmdale, California",1485,157356,106
"Palo Alto, California",2807,67024,24
"Paramount, California",11609,54909,5
"Parker, Colorado",2498,51163,20
"Parma, Ohio",3967,79425,20
"Pasadena, California",6185,142059,23
"Pasadena, Texas",3586,153351,43
"Pasco, Washington",2314,70579,31
"Passaic, New Jersey",22424,70635,3
"Paterson, New Jersey",17438,147000,8
"Pawtucket, Rhode Island",8229,71427,9
"Peabody, Massachusetts",3238,52491,16
"Pearland, Texas",2415,113570,47
"Pembroke Pines, Florida",5090,168587,33
"Pensacola, Florida",2386,53779,23
"Peoria, Arizona",941,164173,174
"Peoria, Illinois",2380,114265,48
"Perris, California",2432,76331,31
"Perth Amboy, New Jersey",11170,52499,5
"Petaluma, California",4209,60530,14
"Pflugerville, Texas",2654,59245,22
"Pharr, Texas",3301,77320,23
"Philadelphia, Pennsylvania",11692,1567872,134
"Phoenix, Arizona",3126,1615017,517
"Pico Rivera, California",7667,63635,8
"Pinellas Park, Florida",3362,52137,16
"Pittsburg, California",4104,70679,17
"Pittsburgh, Pennsylvania",5484,303625,55
"Placentia, California",7949,52228,7
"Plainfield, New Jersey",8411,50636,6
"Plano, Texas",3996,286057,72
"Plantation, Florida",4264,92706,22
"Pleasanton, California",3412,82270,24
"Plymouth, Minnesota",2363,77216,33
"Pocatello, Idaho",1699,54746,32
